simulation,initial_mass,final_mass,velocity
cc_pk_cv_na_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_gp_lb_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_pk_gp_lb_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_pk_gp_lb_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_pk_gp_lb_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_pk_gp_lb_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_pk_gp_lb_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_pk_gp_lb_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_pk_gp_mm_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_pk_gp_mm_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_pk_gp_mm_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_pk_gp_mm_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_pk_gp_mm_Corynebacterium_sp_29_x,1e-8,1e-8,0
cc_pk_gp_mm_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_pk_gp_mm_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_pk_gp_mm_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_pk_gp_mm_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_pk_gp_mm_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_gp_na_Bacillus_altitudinis_23_x,1e-8,1e-8,0
cc_pk_gp_na_Bacillus_atrophaeus_90_x,1e-8,1e-8,0
cc_pk_gp_na_Bacillus_infantis_161_d,1e-8,1e-8,0
cc_pk_gp_na_Bacillus_thuringiensis_111_x,1e-8,1e-8,0
cc_pk_gp_na_Metabacillus_indicus_450_x,1e-8,1e-8,0
cc_pk_gp_na_Micrococcus_luteus_149_a,1e-8,1e-8,0
cc_pk_gp_na_Priestia_megaterium_447_x,1e-8,1e-8,0
cc_pk_gp_na_Staphylococcus_arlettae_99_b,1e-8,1e-8,0
cc_pk_gp_na_Staphylococcus_shinii_154_a,1e-8,1e-8,0
cc_pk_kb_rt_lb_baltitudinis,1e-8,1e-8,0
cc_pk_kb_rt_lb_batrophaeus,1e-8,1e-8,0
cc_pk_kb_rt_lb_corynebacterium,1e-8,1e-8,0
cc_pk_kb_rt_lb_mindicus,1e-8,1e-8,0
cc_pk_kb_rt_lb_mleteus,1e-8,1e-8,0
cc_pk_kb_rt_lb_pmegaterium,1e-8,1e-8,0
cc_pk_kb_rt_lb_sarlette,1e-8,1e-8,0
cc_pk_kb_rt_lb_sshinii,1e-8,1e-8,0
cc_pk_kb_rt_mm_baltitudinis,1e-8,1e-8,0
